author_id,author_name,total_citations,unique_citations,top_region,top_period,pct_western_europe,pct_latin_america
ramon_alcalde,Ramón Alcalde,42,24,Other/Unknown,Long 19th Century,14.3,28.6
hector_grisafi,Héctor Grisafi,42,24,Other/Unknown,Long 19th Century,14.3,28.6
eduardo_gruner,Eduardo Grüner,42,24,Other/Unknown,Long 19th Century,14.3,28.6
luis_gusman,Luis Gusmán,70,39,Other/Unknown,Long 19th Century,15.7,34.3
jorge_jinkis,Jorge Jinkis,55,27,Latin America,Long 19th Century,10.9,45.5
hugo_savino,Hugo Savino,42,24,Other/Unknown,Long 19th Century,14.3,28.6
jose_salas_subirat,José Salas Subirat,50,25,Western Europe,Long 19th Century,66.0,12.0
alicia_gutierrez_reto,Alicia Gutiérrez Reto,3,2,Western Europe,Revolutionary Era,66.7,33.3
delia_pasini,Delia Pasini,1,1,Latin America,Contemporary,0.0,100.0
beatriz_castillo,Beatriz Castillo,9,4,Latin America,Long 19th Century,11.1,77.8
liliana_heer,Liliana Heer,2,2,Latin America,World Wars Era,50.0,50.0
luis_chitarroni,Luis Chitarroni,22,15,Latin America,World Wars Era,27.3,59.1
haroldo_campos,Haroldo de Campos,1,1,Western Europe,Early Modern,100.0,0.0
leonora_carrington,Leonora Carrington,3,3,Western Europe,Long 19th Century,100.0,0.0
