id,name,count
nestor_perlongher,Néstor Perlongher,51
rodolfo_wilcock,Juan Rodolfo Wilcock,40
georg_trakl,Georg Trakl,38
borges,Jorge Borges,30
david_vinias,David Viñas,28
gustave_flaubert,Gustave Flaubert,26
luis_gusman,Luis Gusmán,24
jose_marmol,José Mármol,21
alejandro_dumas,Alexandre Dumas,18
juan_manuel_rosas,Juan Manuel de Rosas,17
leon_rozitchner,León Rozitchner,13
gustave_aimard,Gustave Aimard,13
osvaldo_soriano,Osvaldo Soriano,13
robert_walser,Robert Walser,12
daniel_moyano,Daniel Moyano,12
juan_bautista_alberdi,Juan Bautista Alberdi,11
juan_jose_sebreli,Juan José Sebreli,10
jean_paul_sartre,Jean-Paul Sartre,10
roberto_arlt,Roberto Arlt,9
martinez_estrada,Ezequiel Martínez Estrada,9
amilcar_barca,Amílcar Barca,9
jose_pablo_feinmann,José Pablo Feinmann,8
philippe_aries,Philippe Ariès,8
luis_gregorich,Luis Gregorich,7
ricardo_piglia,Ricardo Piglia,7
sarmiento,Domingo Faustino Sarmiento,7
jose_hernandez,José Hernández,7
johann_herder,Johann Herder,7
miguel_briante,Miguel Briante,7
kafka,Franz Kafka,6
